row_id,tweet_id,text,like_count,date
137,1801006552662372589,"@RepMTG Thank you, MTG! Back half of this was dead on. Especially the Biden facts you were spitting! 

You are right. Americans would be thrilled to see even half of what you mentioned ""righted."" If it can even be righted. Crimes against humanity? That's hard to make right. https://t.co/c0QJaOOz9Z",0,2024-06-12
138,1801014377769811973,"@allstar99999 Only reasons to withhold audio tapes 
They aren’t accurate to the transcripts 
They are so revealing about the POTUS cognitive status - that it would be political suicide. 

Let’s switch the names on the audio tapes from Biden to Trump and see what they’d do",0,2024-06-12
139,1801348459926012269,@ScottPresler @harryjsisson Trump is a conman and Biden is a senile. Both are horrific.,0,2024-06-13
140,1801003429587738997,@RepMattGaetz @DailyCaller Yes this! Biden will give our money away to every foreign country who asks and will use our money to take care of tens of millions of illegal invaders but our military gets screwed. Biden is a scumbag.,1,2024-06-12
141,1801008126121914499,"@Acyn Is Kayleigh saying that Trump is the dance party and Biden is the parents basement? 

What is she talking about?",0,2024-06-12
142,1801035898785571146,@atensnut President Biden was legally elected. You are in a Cult.,0,2024-06-12
143,1801036530779119925,"@OneBadDude_ @JoeBiden Seems like more people are paying attention to politics and educating themselves on the issues a bit more. I think Biden is responsible for that. I think we took a lot for granted before and during Trump’s time in office, now we’re seeing how bad it can actually get in our time.",1,2024-06-12
144,1801037889616114094,@GigaBeers Yes unless we can found em up and kick em out,0,2024-06-12
145,1801029825315971333,"Look at that the left side is under Trump the right side is under Biden, and we're not even done with 2024 yet we must seal the Border and take control and remove all illegals from America.. https://t.co/pAIbsNz8v0",0,2024-06-12
146,1801021418257170584,@BasedMikeLee Have you discussed what this means with the females in your family?   I mean have you really sat down and looked your youngest daughter in the face and said daddy is supporting Donald Trump.    He does brag about grabbing women by their pussies.   He has been found liable for it.,0,2024-06-12
147,1801004170301800554,"President Joe Biden faces first lawsuit over new asylum crackdown at the border
https://t.co/XkfuREu7mx",0,2024-06-12
148,1801035910844215625,"Here are the top donors to AIPAC's super PAC, United Democracy Project, which is unloading millions in #NY16 from:

- Nikki Haley megadonor Jan Koum
- Ted Cruz donor David Zalik
- Trump inaugural donor Kraft Group
- billionaire GOP megadonor Paul Singer

https://t.co/6UfAR0TsG4 https://t.co/d2cCdvLdWI",1,2024-06-12
149,1801038081367384532,Will the real Joe Biden please stand up!,0,2024-06-12
150,1801009166418432255,@mjfree Barf worthy https://t.co/HJVvL7zebW,0,2024-06-12
151,1801004932306534711,"@Damaan4u33 @LosDaGreatOne Well, actually the shirt should say, “fuck anti-Black white supremacist racists Jim Crow Biden and Donald Trump, and f**k Blacks who votes for either.”",0,2024-06-12
152,1801005746730996080,Joe Biden Handed Loss by Texas Judge #NewsBreak https://t.co/CY6gA4URxV,1,2024-06-12
153,1801035922902790406,Preparing for face off: Trump Biden zinger debate moments #NewsBreak https://t.co/mDbKAEMAP8,0,2024-06-12
154,1801007820248113397,@RogerJStoneJr @OwenShroyer1776 Merge with beck the blaze,0,2024-06-12
155,1801002779688783927,"@valdemings .
Flee from Biden &amp; Tyranny
Flee from Hate, Unrest, War, Division
Flee Fascism (National Socialism)
.
Democratic Party &lt; Middle &lt; Republican Party
.
Liberals, Constitutional, Paradigm of Subsidiarity
Libertarian Party
Making America Greater Every Day
.
To Liberty
.",1,2024-06-12
156,1801348055083426249,"@Damaan4u33 Well, atleast old Biden can read his notecards",0,2024-06-13
157,1801027984184197451,@TheAleksee Are those rich people voting for Le Pen or areas where rich people visit or have homes such as Martha’s Vineyard here?,2,2024-06-12
158,1801013993630306570,The whole Biden administration is a bit over stated!!,0,2024-06-12
159,1801033564969992331,@GOP Source: Trust Me Bro,0,2024-06-12
160,1801036098753139030,"“Alito is an extremist who is out of touch with mainstream America. His rising power on the Supreme Court is a threat to our democracy,” Sen. Elizabeth Warren (D-Mass.) said.",1,2024-06-12
161,1801349583362032052,Hunter and Joe biden?,0,2024-06-13
162,1801027647712968747,"Biden, the Democrats, and the left wing media frequently say prices are coming down. That is not true. The rate of increase may be slowing but prices are still going up! https://t.co/ayzmsj1Ytv",7,2024-06-12
163,1801350089891344649,Biden is going to pardon Hunter- he is a good boy!,0,2024-06-13
164,1801017092742771113,@hatescapitalism @VictoryRenfrew @DUI_Defender_LA How do explain why AIPAC spends so much money promoting the gop and far right dems if there is no difference?,0,2024-06-12
165,1801036088711971193,@charliekirk11 @ThickShelledEgg Yes the border is wide open Everyone knows this Except the Biden administration,0,2024-06-12
166,1801034473737175128,"Is that because of the treacherous, stale, old white men, conservative political operators who own them, including OUR ABC have the integrity and ethics of a Cattle Tick?",1,2024-06-12
167,1801012003361681670,"@DogRightGirl Though it's nice to see the Biden's get some Court room action, we wouldn't wish that on anyone. That being said, Hunter did buy a gun while he was using drugs, right?",0,2024-06-12
168,1801036102972944835,"@RpsAgainstTrump Spineless and an absolute disgrace. There you have it folks, the GOP supporting an insurrectionist who tried to over throw our democracy.",0,2024-06-12
169,1801021346027098246,@ggreenwald Regurgitating the Biden regime talking points.,0,2024-06-12
170,1801039069092135103,HUNTER BIDEN’S BACK TATTOO OF THE FINGER LAKES WHY? https://t.co/yqDQ7mwOck,0,2024-06-12
171,1801003060657041486,Were they trying to make us like Alito more? https://t.co/STAdIALc8r,0,2024-06-12
172,1801036272221466689,I’ve been saying this for YEARS… But Biden isn’t mentally here!! And it’s SCARY!!,0,2024-06-12
173,1801027516611924248,"@franklinisbored @lepuppeteerfou @blknoiz06 Make sure you vote Trump. Biden using it to quote someone else should not be acceptable, right?

https://t.co/i5Y7glKrzL",0,2024-06-12
174,1801014427673628909,@DrewSav Nope! President Biden is also overperforming in primary contests.,0,2024-06-12
175,1801005569542664313,"If you live in California, you are a fool. I have no pity for anyone who consciously makes the decision to live in a communist shithole.",0,2024-06-12
