row_id,text,hashtags,post_type,like_count,date
196,"This man lost to Biden. 

Lost by ALOT. 

If you think that this is ANYTHING other than misogyny at play you’re lying to yourself. 

She is THE most qualified candidate on YEARS. 

She is viciously intelligent and driven. 

She is losing ground with MEN, latine &amp; Blk voters.",[],tweet,590758,2024-11-06
197,"BIG GIVEAWAY 🚨 

IF DONALD TRUMP WINS TODAY ! I WILL GIVEAWAY $1000 TO 3 PEOPLE WHO LIKE THIS POST AND FOLLOWS ME. https://t.co/WzWG5onpP9",[],tweet,5350,2024-11-05
198,"I did everything in my power to make this part more acceptable to Black people, that you don’t have to look or talk a certain way to be an accepted Conservative. 

We changed the culture together and have implemented ourselves into Hip-Hop and Urban culture. What a time to be https://t.co/rlLXapCRD5",[],tweet,16938,2024-11-06
199,The trump legacy,[],quote,2,2024-11-05
200,"@drvolts My vent today centered on the fact that MAGA is part of the 99% that won't be able to escape the damage of a 2nd Trump term:
https://t.co/YYRxAmgBkS",[],reply,72,2024-10-31
201,"In the middle of the blame game realize one undeniable fact: 

Donald Trump should not have been allowed to run for office. 

Donald Trump should have been prosecuted by Merrick Garland and the Justice Department like anyone who did what he did.

The delay destroyed this country.",[],tweet,58942,2024-11-10
202,This woman just made the most convincing case for Biden to investigate the election. She exposes Starlink. https://t.co/m9hWoDDN5z,[],tweet,33294,2024-11-10
203,"Breaking:🚨 AOC says that since Donald Trump won the presidency, she’s leaving the country. She’s moving to Hawaii.😏 https://t.co/MsbALviPxn",[],tweet,1145,2024-11-08
204,"WOW! Major news: Donald Trump is on the brink of his seventh bankruptcy! With a staggering $1.8B in debt and only around $400 million in cash, it's crystal clear why he and Elon Musk are so desperate for the White House. 

""What does Elmo get out of it? Blank taxpayers' welfare https://t.co/qUwaChLYga",[],tweet,39649,2024-11-04
205,"If Joe Biden offered me $50 billion for the U.S. government to buy 𝕏, should I accept?

I bought it for $44 billion

A. YES 
B. NO https://t.co/7NLTDDoVKN",[],tweet,564,2024-11-07
206,"Do you support President Biden giving his son Hunter a pardon?

Yes 👍 
No 👎 https://t.co/bFafUd5J9H",[],tweet,24778,2024-11-09
207,"No one has said 'Latinx' in ages, it never even reached common parlance among the literal millions of people involved in the Democratic party. This woman needs to be persona non grata, she's a conservative grifter.",[],quote,20,2024-11-08
208,"Do you support President Biden giving his son Hunter a pardon?

Yes 👍 
No 👎 https://t.co/bFafUd5J9H",[],tweet,22992,2024-11-09
209,Hey magats…. GO EAT 💩 https://t.co/lOEBAx54uT,[],tweet,3791,2024-11-10
210,"Harris–Biden broke our border ON PURPOSE with 94+ direct actions &amp; let-in 10,000,000+ illegal aliens.

This includes 425,431+ convicted criminals, 13,099+ murderers, &amp; 15,811+ sexual assaulters.

This resulted in innocent Americans killed.
This resulted in 320,000+ children lost. https://t.co/Rha2VbTghl",[],tweet,9060,2024-11-08
211,MAGA Patriots under 25k drop your handles! Let's grow together! 🇺🇸,[],tweet,122,2024-11-08
