row_id,text,like_count,date
101,@HouseJudiciary @RepRaskin Biden is either incompetent to stand trial or competent and should be charged. We have the right to decide which prior to voting in November. Withholding these tapes feels like election interference.,0,2024-06-12
102,Bro how many gay people live in Palestine?,3,2024-06-12
103,"#TRUMP
LETS #UNDEFUND THE #POLICE SAID #GUTFELD! GREAT ON POLICY #DONALD J #TRUMP THEE #ALPHA MALE_DEMOCRAT HELD CITIES_GOING TO HELL_HOMELESS ON THE STREETS_CANT GET AWAY_FROM THE SMELL_ELECT THE #GOP TO #CONGRESS BIG DIFFERENCE CANT YOU TELL #AMERICA 1ST #MAGA WE CAN NOT FAIL
=",0,2024-06-12
104,"@Morning_Joe @JoeNBC I don't like Trump for a candidate and I don't like Biden for a candidate.  However, you are beginning to make Trump a better choice.",0,2024-06-12
105,"@RepAdamSchiff @HouseGOP What you don't realize is @HouseDemocrats have barely done more. Instead of this zero sum gridlock where both @TheDemocrats and @GOP look like inept, corrupt, grossly over paid laze abouts, PASS A LAW.",0,2024-06-12
106,"@ce5084 @Bubblebathgirl @JoeBiden If Biden would have handled it, I couldn’t imagine how worse this country would be",0,2024-06-12
107,"MAGA has know this for yrs. Only the MSM sheep had blinders on. Feel good Biden Bros, you all have sh*t on your faces. Make America Great Again 🇺🇸",1,2024-06-12
108,@BidenHQ @SpeakerJohnson Fuck no man. Biden wins again I’ll be ready to revolt too. Look me up brothers!,0,2024-06-12
109,@ResisterSis20 Did she teach him to smoke crack and abuse hookers?  That’s what he’s known for. Well that and selling access to Joe Biden. To mainly enemies of America. She should be just so proud 😂🙈,0,2024-06-12
110,"@brandi_love Thank you so much for replying! I'm seriously interested - not as young as I once was (and my 18 year younger wife knows it! 🤣) 

I'm gonna try it and I don't care who on X knows it! 🤣 

(Big fan, BTW - you bring so much class and intelligence to the genre...  😉😁👍🏻)",0,2024-06-12
111,@NickKnudsenUS This is stupid. You think people are switching when Trumps numbers are growing? Do you think people are stupid? Trump is winning this with over 50% Union support. I am 30 year IBEW and I am not voting Biden again. #TrumpToSaveAmerica,0,2024-06-12
